project_location_id,place_name,latitude,longitude,project_title,start_actual_isodate,end_actual_isodate,recipients,ad_sector_names,commitments,disbursements
P093699_2240688,Kiwaba Nzoji,-9.01948,16.47471,AO-Market Oriented Smallholder Agriculture Project,7/31/08,12/31/15,Angola,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture",1252782.966,21904.39777
P093699_2239859,Malanje Municipality,-9.5,16.33333,AO-Market Oriented Smallholder Agriculture Project,7/31/08,12/31/15,Angola,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture",1252782.966,21904.39777
P111840_2239859,Malanje Municipality,-9.5,16.33333,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P111840_876631,Camanongue,-11.40984,20.18525,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P111840_876176,Luau,-10.91838,21.97998,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P081558_3351646,MunicÃ_pio Bibala,-14.66667,13.16667,3rd Social Action Fund (FAS III),7/29/03,6/30/09,Angola,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2365417.466,2586364.397
P093699_3351012,MunicÃ_pio Camacupa,-12.5,17.75,AO-Market Oriented Smallholder Agriculture Project,7/31/08,12/31/15,Angola,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture",1252782.966,21904.39777
P111840_2239731,Maquela do Zombo,-6.12363,15.5458,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P111840_2239067,Negage Municipality,-7.83333,15.33333,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P111840_2237127,Sanza Pombo,-7.26026,16.04877,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P111840_2236567,Uige Municipality,-7.57488,15.06775,AO-Municipal Health Service Strengthening (Revitaliza&#231;&#227;o),6/8/10,12/31/15,Angola,"Health, general|Health",2781126.344,
P113202_7668935,Commune of Banikoara,11.33966,2.45915,Health System Performance,5/6/10,12/31/15,Benin,"Health, general|Health",1058456.405,89117.15996
P122419_7668935,Commune of Banikoara,11.33966,2.45915,Support to Protected Areas Management,3/29/11,12/15/16,Benin,Forestry|Banking and financial services|Agriculture,714285.7143,56626.09714
P146597_7668935,Commune of Banikoara,11.33966,2.45915,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7668935,Commune of Banikoara,11.33966,2.45915,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P129024_7668935,Commune of Banikoara,11.33966,2.45915,Benin - Health System Performance Project - Additional Financing,3/15/12,,Benin,Health,1227304.646,
P000117_7668935,Commune of Banikoara,11.33966,2.45915,Transport Sector Investment Program Project,10/31/96,12/31/01,Benin,"Government and civil society, general|Transport and storage",2598699.455,1870579.059
P057345_7668935,Commune of Banikoara,11.33966,2.45915,BORGOU PILOT RSP,6/16/98,6/30/02,Benin,"Water supply and sanitation|Other social infrastructure and services|Agriculture|Transport and storage|Government and civil society, general",1767562.281,1623119.69
P146597_10344469,Gogounou,10.83861,2.83611,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_10344469,Gogounou,10.83861,2.83611,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_7911056,Kandi,11.0706,2.86743,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7911056,Kandi,11.0706,2.86743,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P122950_7911056,Kandi,11.0706,2.86743,Benin Cities Support Project,6/21/13,6/30/20,Benin,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general",6886092.272,
P122419_7874155,Karimama,11.93816,2.75703,Support to Protected Areas Management,3/29/11,12/15/16,Benin,Forestry|Banking and financial services|Agriculture,714285.7143,56626.09714
P146597_7874155,Karimama,11.93816,2.75703,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7874155,Karimama,11.93816,2.75703,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P115886_7874170,Malanville,11.66636,3.26373,Agricultural Productivity and Diversification,3/22/11,12/15/16,Benin,Industry|Agriculture,3444444.444,41216.65
P146597_7874170,Malanville,11.66636,3.26373,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7874170,Malanville,11.66636,3.26373,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_10344468,SÃ©gbana,10.92778,3.69444,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_10344468,SÃ©gbana,10.92778,3.69444,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_10344467,BoukoumbÃ©,10.18333,1.1,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_10344467,BoukoumbÃ©,10.18333,1.1,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_10344466,Cobly,10.49222,0.99972,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_10344466,Cobly,10.49222,0.99972,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P113202_7668918,Kerou,10.91433,1.99153,Health System Performance,5/6/10,12/31/15,Benin,"Health, general|Health",1058456.405,89117.15996
P146597_7668918,Kerou,10.91433,1.99153,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7668918,Kerou,10.91433,1.99153,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P079633_7668910,Kouande,10.42486,1.71466,Electricity Services Delivery Project,7/6/04,12/31/12,Benin,"Government and civil society, general|Energy generation and supply",1254894.895,1146719.501
P113202_7668910,Kouande,10.42486,1.71466,Health System Performance,5/6/10,12/31/15,Benin,"Health, general|Health",1058456.405,89117.15996
P146597_7668910,Kouande,10.42486,1.71466,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7668910,Kouande,10.42486,1.71466,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P129024_7668910,Kouande,10.42486,1.71466,Benin - Health System Performance Project - Additional Financing,3/15/12,,Benin,Health,1227304.646,
P146597_7874158,Materi,10.7986,1.02756,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7874158,Materi,10.7986,1.02756,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P000117_7874158,Materi,10.7986,1.02756,Transport Sector Investment Program Project,10/31/96,12/31/01,Benin,"Government and civil society, general|Transport and storage",2598699.455,1870579.059
P079633_7669273,Natitingou,10.25746,1.41397,Electricity Services Delivery Project,7/6/04,12/31/12,Benin,"Government and civil society, general|Energy generation and supply",1254894.895,1146719.501
P146597_7669273,Natitingou,10.25746,1.41397,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7669273,Natitingou,10.25746,1.41397,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P000117_7669273,Natitingou,10.25746,1.41397,Transport Sector Investment Program Project,10/31/96,12/31/01,Benin,"Government and civil society, general|Transport and storage",2598699.455,1870579.059
P113202_7668916,Pehonko,10.27069,2.03744,Health System Performance,5/6/10,12/31/15,Benin,"Health, general|Health",1058456.405,89117.15996
P146597_7668916,Pehonko,10.27069,2.03744,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7668916,Pehonko,10.27069,2.03744,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P115886_7874156,Tanguieta,11.03621,1.41757,Agricultural Productivity and Diversification,3/22/11,12/15/16,Benin,Industry|Agriculture,3444444.444,41216.65
P122419_7874156,Tanguieta,11.03621,1.41757,Support to Protected Areas Management,3/29/11,12/15/16,Benin,Forestry|Banking and financial services|Agriculture,714285.7143,56626.09714
P146597_7874156,Tanguieta,11.03621,1.41757,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7874156,Tanguieta,11.03621,1.41757,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P000117_7874156,Tanguieta,11.03621,1.41757,Transport Sector Investment Program Project,10/31/96,12/31/01,Benin,"Government and civil society, general|Transport and storage",2598699.455,1870579.059
P146597_7874157,Toukountouna,10.51424,1.45527,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7874157,Toukountouna,10.51424,1.45527,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P000117_7874157,Toukountouna,10.51424,1.45527,Transport Sector Investment Program Project,10/31/96,12/31/01,Benin,"Government and civil society, general|Transport and storage",2598699.455,1870579.059
P074850_7874152,Commune of Abomey-Calavi,6.508,2.325,HIV/AIDS PROJECT FOR ABIDJAN - LAGOS TRANSPORT CORRIDOR,11/13/03,12/31/07,Africa,"Other social infrastructure and services|Health|Government and civil society, general",263025.368,282773.7951
P113145_7874152,Commune of Abomey-Calavi,6.508,2.325,Benin Emergency Urban Env. Project,4/26/11,12/31/16,Benin,Water supply and sanitation,2500000,174005.7345
P146597_7874152,Commune of Abomey-Calavi,6.508,2.325,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7874152,Commune of Abomey-Calavi,6.508,2.325,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P148628_7874152,Commune of Abomey-Calavi,6.508,2.325,Benin Emergency Urban Env. Additional Financing,5/8/14,,Benin,"Water supply and sanitation|General environmental protection|Government and civil society, general",640000,
P146597_8260655,Commune of Allada,6.682,2.128,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_8260655,Commune of Allada,6.682,2.128,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P074850_7668937,Commune of Kpomasse,6.461,2.021,HIV/AIDS PROJECT FOR ABIDJAN - LAGOS TRANSPORT CORRIDOR,11/13/03,12/31/07,Africa,"Other social infrastructure and services|Health|Government and civil society, general",263025.368,282773.7951
P113202_7668937,Commune of Kpomasse,6.461,2.021,Health System Performance,5/6/10,12/31/15,Benin,"Health, general|Health",1058456.405,89117.15996
P146597_7668937,Commune of Kpomasse,6.461,2.021,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7668937,Commune of Kpomasse,6.461,2.021,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P074850_7668936,Commune of Ouidah,6.371,2.113,HIV/AIDS PROJECT FOR ABIDJAN - LAGOS TRANSPORT CORRIDOR,11/13/03,12/31/07,Africa,"Other social infrastructure and services|Health|Government and civil society, general",263025.368,282773.7951
P113202_7668936,Commune of Ouidah,6.371,2.113,Health System Performance,5/6/10,12/31/15,Benin,"Health, general|Health",1058456.405,89117.15996
P146597_7668936,Commune of Ouidah,6.371,2.113,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7668936,Commune of Ouidah,6.371,2.113,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P148628_7668936,Commune of Ouidah,6.371,2.113,Benin Emergency Urban Env. Additional Financing,5/8/14,,Benin,"Water supply and sanitation|General environmental protection|Government and civil society, general",640000,
P129024_7668936,Commune of Ouidah,6.371,2.113,Benin - Health System Performance Project - Additional Financing,3/15/12,,Benin,Health,1227304.646,
P113145_7874154,Commune of So-Ava,6.50159,2.42707,Benin Emergency Urban Env. Project,4/26/11,12/31/16,Benin,Water supply and sanitation,2500000,174005.7345
P146597_7874154,Commune of So-Ava,6.50159,2.42707,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7874154,Commune of So-Ava,6.50159,2.42707,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_8260656,Commune of Toffo,6.856,2.181,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_8260656,Commune of Toffo,6.856,2.181,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P113202_7668938,Commune of Tori-Bossito,6.538,2.143,Health System Performance,5/6/10,12/31/15,Benin,"Health, general|Health",1058456.405,89117.15996
P146597_7668938,Commune of Tori-Bossito,6.538,2.143,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7668938,Commune of Tori-Bossito,6.538,2.143,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_8260657,Commune of Ze,6.765,2.336,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_8260657,Commune of Ze,6.765,2.336,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P079633_7669270,Bembereke,10.26755,2.77158,Electricity Services Delivery Project,7/6/04,12/31/12,Benin,"Government and civil society, general|Energy generation and supply",1254894.895,1146719.501
P146597_7669270,Bembereke,10.26755,2.77158,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7669270,Bembereke,10.26755,2.77158,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P079633_7669268,Commune of Parakou,9.34991,2.62262,Electricity Services Delivery Project,7/6/04,12/31/12,Benin,"Government and civil society, general|Energy generation and supply",1254894.895,1146719.501
P146597_7669268,Commune of Parakou,9.34991,2.62262,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7669268,Commune of Parakou,9.34991,2.62262,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P057345_7669268,Commune of Parakou,9.34991,2.62262,BORGOU PILOT RSP,6/16/98,6/30/02,Benin,"Water supply and sanitation|Other social infrastructure and services|Agriculture|Transport and storage|Government and civil society, general",1767562.281,1623119.69
P079633_7669265,Commune of Tchaourou,9.0349,2.5169,Electricity Services Delivery Project,7/6/04,12/31/12,Benin,"Government and civil society, general|Energy generation and supply",1254894.895,1146719.501
P146597_7669265,Commune of Tchaourou,9.0349,2.5169,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7669265,Commune of Tchaourou,9.0349,2.5169,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_7669349,KalalÃ¨,10.36097,3.42087,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7669349,KalalÃ¨,10.36097,3.42087,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P079633_7669269,Ndali,9.73027,2.45032,Electricity Services Delivery Project,7/6/04,12/31/12,Benin,"Government and civil society, general|Energy generation and supply",1254894.895,1146719.501
P146597_7669269,Ndali,9.73027,2.45032,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7669269,Ndali,9.73027,2.45032,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_7669355,Nikki,9.95336,3.15601,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7669355,Nikki,9.95336,3.15601,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_7669352,PÃ¨rÃ¨rÃ¨,9.58703,2.99607,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7669352,PÃ¨rÃ¨rÃ¨,9.58703,2.99607,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_7669357,SinendÃ©,10.21558,2.33527,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7669357,SinendÃ©,10.21558,2.33527,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_8260647,Commune of Bante,8.34,1.872,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_8260647,Commune of Bante,8.34,1.872,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P000117_8260647,Commune of Bante,8.34,1.872,Transport Sector Investment Program Project,10/31/96,12/31/01,Benin,"Government and civil society, general|Transport and storage",2598699.455,1870579.059
P146597_8260648,Commune of Dassa-Zoume,7.696,2.278,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_8260648,Commune of Dassa-Zoume,7.696,2.278,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_7874167,Commune of Glazoue,8.174,2.233,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_7874167,Commune of Glazoue,8.174,2.233,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_8260649,Commune of Ouesse,8.561,2.523,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_8260649,Commune of Ouesse,8.561,2.523,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P148628_8260649,Commune of Ouesse,8.561,2.523,Benin Emergency Urban Env. Additional Financing,5/8/14,,Benin,"Water supply and sanitation|General environmental protection|Government and civil society, general",640000,
P146597_8260650,Commune of Savalou,7.862,1.849,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_8260650,Commune of Savalou,7.862,1.849,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P000117_8260650,Commune of Savalou,7.862,1.849,Transport Sector Investment Program Project,10/31/96,12/31/01,Benin,"Government and civil society, general|Transport and storage",2598699.455,1870579.059
P146597_8260651,Commune of Save,7.959,2.567,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_8260651,Commune of Save,7.959,2.567,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
P146597_8693304,Adjara,6.49135,2.68101,Benin Decentralized Community Driven Services Project - Addl Financing,2/27/14,,Benin,Water supply and sanitation|Other social infrastructure and services|Health|Basic education,389610.3896,
P117764_8693304,Adjara,6.49135,2.68101,Decentralized Community Driven Services Project,5/3/12,12/31/17,Benin,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Basic education",507469.7861,
